id,Genero,Tipo_Cliente,Edad,Tipo_Viaje,Clase,Distancia_Vuelo,Wifi_a_bordo,Comodidad_Horario,Facilidad_Reserva,Ubicacion_Puerta,Comida_Bebida,Embarque_Online,Comodidad_Asiento,Entretenimiento,Servicio_Abordo,Espacio_Piernas,Manejo_Equipaje,Servicio_Checkin,Servicio_Vuelo,Limpieza,TypeOfTravel_bin,Class_Eco,Class_Eco Plus,Service_Mean,Service_Min,Service_Max,Service_Var,Age_Bin,Distance_Bin,target
10,Male,Loyal Customer,55,Personal Travel,Business,1284,5,3,2,2,3,1,4,2,1,5,5,2,1,2,0,False,False,2.7142857142857144,1,5,2.21978021978022,3.0,1.0,1
11,Male,Loyal Customer,23,Personal Travel,Eco,846,5,4,1,1,2,4,2,4,1,4,5,1,2,4,0,True,False,2.857142857142857,1,5,2.4395604395604398,0.0,0.0,1
12,Male,disloyal Customer,70,Personal Travel,Business,1825,5,2,2,5,2,5,1,5,3,1,1,5,5,4,0,False,False,3.2857142857142856,1,5,2.9890109890109886,4.0,1.0,1
13,Male,disloyal Customer,48,Business travel,Eco,3288,5,1,5,2,5,4,1,1,5,1,3,3,5,2,1,True,False,3.0714285714285716,1,5,2.9945054945054945,2.0,3.0,1
14,Female,Loyal Customer,35,Business travel,Eco,370,5,3,1,5,2,4,4,1,2,2,4,2,4,2,1,True,False,2.9285714285714284,1,5,1.9175824175824177,1.0,0.0,0
15,Male,Loyal Customer,25,Business travel,Eco Plus,4965,1,2,4,3,2,2,4,2,4,4,3,3,3,3,1,False,True,2.857142857142857,1,4,0.9010989010989012,1.0,4.0,0
16,Female,Loyal Customer,17,Business travel,Business,4056,3,1,3,1,3,4,1,5,3,3,3,5,3,5,1,False,False,3.0714285714285716,1,5,1.9175824175824172,0.0,4.0,1
17,Female,disloyal Customer,56,Personal Travel,Business,271,5,3,1,3,2,1,1,5,5,1,1,2,2,3,0,False,False,2.5,1,5,2.423076923076923,3.0,0.0,1
18,Female,disloyal Customer,77,Business travel,Eco,373,3,2,5,1,4,3,2,3,2,5,4,1,4,5,1,True,False,3.142857142857143,1,5,1.978021978021978,4.0,0.0,0
19,Male,Loyal Customer,64,Personal Travel,Eco,2406,5,2,1,5,3,2,4,5,3,2,5,3,5,4,0,True,False,3.5,1,5,1.9615384615384615,3.0,2.0,1
20,Female,Loyal Customer,40,Business travel,Eco,1258,4,3,2,4,1,2,2,5,1,2,1,1,4,5,1,True,False,2.642857142857143,1,5,2.2472527472527477,2.0,1.0,1
21,Male,Loyal Customer,26,Personal Travel,Business,1806,5,2,1,2,3,5,1,1,4,1,1,5,4,3,0,False,False,2.7142857142857144,1,5,2.6813186813186816,1.0,1.0,1
22,Female,disloyal Customer,56,Business travel,Business,1871,2,5,4,5,2,3,5,5,5,4,4,5,2,2,1,False,False,3.7857142857142856,2,5,1.71978021978022,3.0,1.0,0
23,Female,disloyal Customer,16,Business travel,Business,521,1,3,1,1,4,2,5,5,2,2,2,3,3,5,1,False,False,2.7857142857142856,1,5,2.181318681318681,0.0,0.0,0
24,Female,disloyal Customer,38,Business travel,Eco,1309,4,2,3,1,3,4,1,1,1,1,1,5,4,3,1,True,False,2.4285714285714284,1,5,2.10989010989011,1.0,1.0,0
25,Female,Loyal Customer,58,Business travel,Business,4775,4,1,1,1,4,2,4,5,3,4,3,4,4,4,1,False,False,3.142857142857143,1,5,1.824175824175824,3.0,4.0,1
26,Female,Loyal Customer,21,Business travel,Business,990,2,1,2,1,1,2,5,1,4,1,3,3,4,5,1,False,False,2.5,1,5,2.269230769230769,0.0,0.0,0
27,Female,Loyal Customer,9,Business travel,Eco Plus,4917,5,5,1,2,1,2,4,3,3,1,5,4,1,4,1,False,True,2.9285714285714284,1,5,2.5329670329670333,0.0,4.0,1
28,Female,Loyal Customer,43,Personal Travel,Business,3367,1,3,4,3,5,5,5,4,3,4,1,5,4,4,0,False,False,3.642857142857143,1,5,1.7857142857142858,2.0,3.0,0
29,Female,disloyal Customer,46,Business travel,Eco Plus,1573,4,2,5,4,5,2,4,1,2,4,5,3,4,1,1,False,True,3.2857142857142856,1,5,2.065934065934066,2.0,1.0,0
30,Male,disloyal Customer,78,Business travel,Eco,3343,1,2,1,2,3,2,5,1,1,4,1,4,5,5,1,True,False,2.642857142857143,1,5,2.708791208791209,4.0,3.0,0
31,Male,disloyal Customer,46,Business travel,Eco,4578,4,1,1,1,5,5,4,5,5,1,4,5,1,3,1,True,False,3.2142857142857144,1,5,3.2582417582417587,2.0,4.0,0
32,Female,disloyal Customer,62,Personal Travel,Business,2281,5,5,3,2,4,3,2,1,2,2,1,2,4,5,0,False,False,2.9285714285714284,1,5,2.0714285714285716,3.0,2.0,1
33,Female,Loyal Customer,29,Business travel,Business,1549,4,1,4,5,5,1,4,2,4,3,2,2,4,5,1,False,False,3.2857142857142856,1,5,2.065934065934066,1.0,1.0,0
34,Female,Loyal Customer,17,Business travel,Eco,3196,4,1,5,1,4,5,2,2,3,3,3,1,2,4,1,True,False,2.857142857142857,1,5,1.9780219780219779,0.0,3.0,0
35,Male,disloyal Customer,70,Business travel,Eco,3356,3,5,2,4,5,5,2,3,4,1,4,2,2,4,1,True,False,3.2857142857142856,1,5,1.7582417582417582,4.0,3.0,0
36,Female,disloyal Customer,14,Business travel,Eco,3256,5,3,1,1,5,2,1,1,2,1,3,4,1,4,1,True,False,2.4285714285714284,1,5,2.417582417582418,0.0,3.0,0
37,Male,Loyal Customer,62,Business travel,Business,1690,2,2,5,4,5,2,2,5,2,2,5,2,5,4,1,False,False,3.357142857142857,2,5,2.0934065934065935,3.0,1.0,1
38,Male,Loyal Customer,66,Business travel,Eco,4339,2,3,2,4,2,1,3,5,5,4,4,3,1,3,1,True,False,3.0,1,5,1.6923076923076923,3.0,4.0,1
39,Male,Loyal Customer,16,Business travel,Eco,4081,5,4,4,3,2,2,2,4,3,1,2,3,1,2,1,True,False,2.7142857142857144,1,5,1.4505494505494503,0.0,4.0,1
40,Male,disloyal Customer,45,Personal Travel,Eco,1535,2,4,4,3,5,4,4,3,2,5,3,3,2,1,0,True,False,3.2142857142857144,1,5,1.4120879120879124,2.0,1.0,0
41,Male,Loyal Customer,34,Business travel,Eco,323,5,4,5,2,4,2,2,5,4,4,1,2,2,4,1,True,False,3.2857142857142856,1,5,1.9120879120879122,1.0,0.0,1
42,Female,Loyal Customer,55,Business travel,Eco,319,2,5,2,2,3,2,4,4,5,1,1,2,5,4,1,True,False,3.0,1,5,2.1538461538461537,3.0,0.0,1
43,Female,Loyal Customer,42,Business travel,Eco,4374,3,1,4,4,1,4,4,5,4,5,1,1,4,1,1,True,False,3.0,1,5,2.6153846153846154,2.0,4.0,1
44,Female,Loyal Customer,19,Personal Travel,Business,1754,2,3,5,1,2,1,3,4,3,2,4,5,5,4,0,False,False,3.142857142857143,1,5,1.978021978021978,0.0,1.0,1
45,Female,Loyal Customer,42,Business travel,Business,4628,4,2,4,5,5,4,2,2,5,5,2,1,4,2,1,False,False,3.357142857142857,1,5,2.0934065934065935,2.0,4.0,1
46,Female,Loyal Customer,32,Personal Travel,Business,364,5,4,4,5,1,5,2,2,5,1,2,4,3,5,0,False,False,3.4285714285714284,1,5,2.4175824175824174,1.0,0.0,1
47,Male,Loyal Customer,10,Business travel,Business,1053,1,3,4,1,2,4,5,5,5,3,2,3,2,1,1,False,False,2.9285714285714284,1,5,2.2252747252747254,0.0,1.0,0
48,Female,Loyal Customer,70,Business travel,Business,4624,1,4,3,1,3,3,5,3,1,1,3,2,3,3,1,False,False,2.5714285714285716,1,5,1.4945054945054947,4.0,4.0,1
49,Female,Loyal Customer,44,Business travel,Business,3833,5,4,2,3,4,5,1,1,5,3,4,5,3,1,1,False,False,3.2857142857142856,1,5,2.373626373626373,2.0,3.0,1
50,Male,Loyal Customer,28,Personal Travel,Business,2874,3,2,5,5,5,2,4,3,4,2,1,5,2,2,0,False,False,3.2142857142857144,1,5,2.0274725274725274,1.0,2.0,1
51,Female,disloyal Customer,8,Business travel,Business,3224,2,5,5,4,3,5,3,3,4,2,3,2,3,3,1,False,False,3.357142857142857,2,5,1.1703296703296702,0.0,3.0,0
52,Male,Loyal Customer,37,Personal Travel,Eco,579,3,1,2,2,2,1,5,1,3,4,2,1,1,5,0,True,False,2.357142857142857,1,5,2.0934065934065935,1.0,0.0,1
53,Female,Loyal Customer,17,Personal Travel,Eco Plus,3614,1,5,2,3,5,1,2,2,2,4,1,5,4,4,0,False,True,2.9285714285714284,1,5,2.3791208791208796,0.0,3.0,0
54,Male,disloyal Customer,52,Business travel,Business,1453,5,3,2,5,1,4,1,2,2,3,4,1,5,1,1,False,False,2.7857142857142856,1,5,2.4890109890109886,2.0,1.0,1
55,Female,Loyal Customer,68,Business travel,Eco Plus,3422,5,5,2,1,4,5,3,1,1,3,5,2,2,3,1,False,True,3.0,1,5,2.4615384615384617,3.0,3.0,1
56,Female,Loyal Customer,75,Business travel,Eco,3978,3,3,1,5,2,2,2,4,5,2,2,1,1,1,1,True,False,2.4285714285714284,1,5,1.9560439560439558,4.0,4.0,1
57,Male,Loyal Customer,70,Business travel,Business,989,3,3,5,4,4,1,2,3,1,5,2,3,5,5,1,False,False,3.2857142857142856,1,5,2.0659340659340657,4.0,0.0,1
58,Male,Loyal Customer,16,Personal Travel,Business,3954,2,1,1,3,5,2,4,5,3,3,2,2,5,1,0,False,False,2.7857142857142856,1,5,2.181318681318681,0.0,4.0,0
59,Male,Loyal Customer,46,Personal Travel,Eco,1024,4,2,4,1,3,3,4,2,3,3,2,2,5,3,0,True,False,2.9285714285714284,1,5,1.1483516483516483,2.0,0.0,1
60,Male,Loyal Customer,30,Business travel,Eco,2270,4,1,4,4,4,1,5,5,2,5,1,5,3,2,1,True,False,3.2857142857142856,1,5,2.5274725274725274,1.0,2.0,1
61,Male,Loyal Customer,50,Business travel,Eco,2002,2,5,5,2,1,4,5,1,3,4,4,5,3,3,1,True,False,3.357142857142857,1,5,2.093406593406593,2.0,2.0,1
62,Male,Loyal Customer,66,Personal Travel,Business,4973,4,3,4,3,2,3,2,5,5,4,3,5,3,1,0,False,False,3.357142857142857,1,5,1.4780219780219779,3.0,4.0,0
63,Male,Loyal Customer,68,Business travel,Business,2495,1,4,2,4,1,5,2,5,4,3,1,3,3,5,1,False,False,3.0714285714285716,1,5,2.2252747252747254,3.0,2.0,0
64,Male,Loyal Customer,23,Personal Travel,Business,128,4,4,1,4,4,2,5,3,3,4,4,3,1,4,0,False,False,3.2857142857142856,1,5,1.4505494505494503,0.0,0.0,1
65,Female,Loyal Customer,71,Business travel,Business,134,2,3,2,1,3,1,5,1,1,4,3,4,3,4,1,False,False,2.642857142857143,1,5,1.7857142857142856,4.0,0.0,1
66,Female,Loyal Customer,63,Business travel,Business,3689,4,1,4,2,3,3,2,5,5,4,2,2,2,5,1,False,False,3.142857142857143,1,5,1.8241758241758246,3.0,3.0,0
67,Male,Loyal Customer,61,Business travel,Business,2770,5,2,1,4,1,3,3,2,3,2,4,5,5,1,1,False,False,2.9285714285714284,1,5,2.2252747252747254,3.0,2.0,0
68,Female,disloyal Customer,59,Business travel,Eco,3465,3,1,2,3,5,1,2,1,3,1,2,2,1,5,1,True,False,2.2857142857142856,1,5,1.912087912087912,3.0,3.0,0
69,Female,Loyal Customer,62,Business travel,Eco Plus,688,1,3,5,4,5,5,3,2,5,3,4,1,3,1,1,False,True,3.2142857142857144,1,5,2.3351648351648353,3.0,0.0,1
70,Female,Loyal Customer,15,Business travel,Business,3318,5,3,2,5,3,5,3,4,3,3,5,3,5,3,1,False,False,3.7142857142857144,2,5,1.1428571428571423,0.0,3.0,1
71,Female,Loyal Customer,28,Business travel,Eco Plus,3238,5,2,4,3,1,4,2,5,4,2,2,4,1,2,1,False,True,2.9285714285714284,1,5,1.9175824175824177,1.0,3.0,1
72,Male,Loyal Customer,19,Personal Travel,Business,1003,2,5,1,3,1,5,1,1,2,1,2,1,5,1,0,False,False,2.2142857142857144,1,5,2.642857142857142,0.0,0.0,1
73,Female,Loyal Customer,54,Personal Travel,Business,4186,3,5,5,4,1,4,5,2,5,1,2,2,1,4,0,False,False,3.142857142857143,1,5,2.593406593406594,2.0,4.0,0
74,Male,disloyal Customer,24,Business travel,Business,2269,3,2,1,1,4,3,4,5,1,2,1,3,4,4,1,False,False,2.7142857142857144,1,5,1.9120879120879122,1.0,2.0,1
75,Female,disloyal Customer,82,Business travel,Eco,439,1,5,5,3,5,1,2,3,3,5,3,5,1,2,1,True,False,3.142857142857143,1,5,2.5934065934065935,4.0,0.0,0
76,Female,Loyal Customer,46,Business travel,Eco Plus,4370,2,4,1,5,5,5,3,2,2,5,2,1,3,1,1,False,True,2.9285714285714284,1,5,2.5329670329670324,2.0,4.0,1
77,Female,disloyal Customer,23,Business travel,Eco,1814,1,5,4,1,4,4,2,2,1,1,2,3,5,2,1,True,False,2.642857142857143,1,5,2.2472527472527473,0.0,1.0,1
78,Male,Loyal Customer,21,Business travel,Business,4792,4,5,5,1,2,3,5,4,1,5,1,2,5,3,1,False,False,3.2857142857142856,1,5,2.6813186813186816,0.0,4.0,1
79,Female,Loyal Customer,21,Business travel,Eco,4646,5,5,3,1,4,5,3,3,4,5,1,2,5,2,1,True,False,3.4285714285714284,1,5,2.2637362637362632,0.0,4.0,1
80,Male,Loyal Customer,85,Business travel,Business,656,1,4,1,3,1,2,4,4,2,5,5,1,2,3,1,False,False,2.7142857142857144,1,5,2.2197802197802194,4.0,0.0,1
81,Female,disloyal Customer,69,Business travel,Eco,3187,5,5,1,1,4,3,4,3,5,1,4,1,2,4,1,True,False,3.0714285714285716,1,5,2.5329670329670333,3.0,3.0,0
82,Male,Loyal Customer,45,Business travel,Eco,3366,2,4,2,4,1,5,4,2,2,5,2,1,3,3,1,True,False,2.857142857142857,1,5,1.824175824175824,2.0,3.0,1
83,Female,Loyal Customer,19,Business travel,Business,3667,4,2,5,1,3,3,1,4,2,3,4,4,4,1,1,False,False,2.9285714285714284,1,5,1.7637362637362641,0.0,3.0,0
84,Male,Loyal Customer,38,Personal Travel,Eco,2156,2,1,3,5,1,1,3,5,1,1,1,5,2,1,0,True,False,2.2857142857142856,1,5,2.6813186813186816,1.0,2.0,1
85,Male,Loyal Customer,15,Business travel,Eco,3999,4,2,4,2,5,1,3,3,4,2,1,3,1,1,1,True,False,2.5714285714285716,1,5,1.802197802197802,0.0,4.0,1
86,Female,Loyal Customer,46,Business travel,Business,1116,4,1,2,5,4,1,1,2,4,5,5,2,3,1,1,False,False,2.857142857142857,1,5,2.5934065934065935,2.0,1.0,1
87,Male,Loyal Customer,26,Business travel,Eco,2162,5,2,3,3,1,2,3,1,2,4,3,2,4,5,1,True,False,2.857142857142857,1,5,1.6703296703296704,1.0,2.0,1
88,Female,Loyal Customer,83,Business travel,Business,938,2,1,5,1,2,1,1,3,2,1,1,5,1,3,1,False,False,2.0714285714285716,1,5,2.071428571428571,4.0,0.0,0
89,Female,Loyal Customer,79,Personal Travel,Eco,1737,2,1,3,1,3,2,2,3,3,2,2,1,5,1,0,True,False,2.2142857142857144,1,5,1.2582417582417582,4.0,1.0,0
90,Female,Loyal Customer,69,Business travel,Eco,4421,1,3,1,4,2,1,5,5,1,3,5,1,2,2,1,True,False,2.5714285714285716,1,5,2.571428571428571,3.0,4.0,1
91,Female,Loyal Customer,82,Personal Travel,Eco,3596,2,1,1,1,2,3,4,3,5,2,3,2,1,2,0,True,False,2.2857142857142856,1,5,1.4505494505494505,4.0,3.0,0
92,Female,Loyal Customer,50,Business travel,Eco,1913,1,1,2,5,2,5,1,3,5,5,5,5,4,5,1,True,False,3.5,1,5,3.0384615384615383,2.0,1.0,0
93,Female,Loyal Customer,44,Business travel,Eco,3579,3,3,5,3,3,5,1,5,4,4,1,2,3,3,1,True,False,3.2142857142857144,1,5,1.7197802197802199,2.0,3.0,1
94,Female,disloyal Customer,66,Personal Travel,Business,1551,3,5,5,2,3,1,1,5,1,5,3,1,1,3,0,False,False,2.7857142857142856,1,5,2.7967032967032965,3.0,1.0,1
95,Female,Loyal Customer,77,Business travel,Eco,2413,3,5,3,1,3,5,2,4,4,2,4,3,3,3,1,True,False,3.2142857142857144,1,5,1.2582417582417582,4.0,2.0,1
96,Female,Loyal Customer,54,Business travel,Business,1614,2,3,2,2,3,1,1,2,5,1,3,1,5,5,1,False,False,2.5714285714285716,1,5,2.2637362637362637,2.0,1.0,1
97,Female,Loyal Customer,24,Business travel,Business,1331,2,4,5,1,2,1,5,2,2,4,2,3,4,3,1,False,False,2.857142857142857,1,5,1.8241758241758244,1.0,1.0,1
98,Female,Loyal Customer,22,Business travel,Business,1745,1,1,1,3,5,4,5,4,1,4,4,4,4,3,1,False,False,3.142857142857143,1,5,2.2857142857142856,0.0,1.0,1
99,Male,Loyal Customer,61,Personal Travel,Business,3099,4,1,3,5,5,4,4,2,1,2,4,5,2,1,0,False,False,3.0714285714285716,1,5,2.379120879120879,3.0,3.0,0
100,Male,Loyal Customer,45,Business travel,Eco,3540,1,3,4,3,3,4,2,3,3,5,2,4,4,3,1,True,False,3.142857142857143,1,5,1.0549450549450547,2.0,3.0,1
101,Female,Loyal Customer,74,Business travel,Business,4156,3,3,1,2,4,2,5,4,2,2,4,1,1,1,1,False,False,2.5,1,5,1.8076923076923077,4.0,4.0,1
102,Female,Loyal Customer,65,Business travel,Eco,405,1,4,2,1,1,4,3,4,2,4,1,5,1,1,1,True,False,2.4285714285714284,1,5,2.2637362637362637,3.0,0.0,0
103,Female,Loyal Customer,68,Business travel,Business,3636,4,5,5,2,4,1,3,2,4,2,3,1,1,3,1,False,False,2.857142857142857,1,5,1.978021978021978,3.0,3.0,1
104,Female,Loyal Customer,19,Business travel,Business,1823,2,2,1,5,4,3,3,1,1,4,3,5,5,2,1,False,False,2.9285714285714284,1,5,2.2252747252747254,0.0,1.0,0
105,Female,Loyal Customer,12,Business travel,Eco,1789,1,5,4,3,4,4,1,2,4,5,2,5,4,4,1,True,False,3.4285714285714284,1,5,1.9560439560439562,0.0,1.0,1
106,Female,Loyal Customer,83,Business travel,Business,1617,3,1,4,2,5,4,1,1,2,1,1,1,4,2,1,False,False,2.2857142857142856,1,5,2.065934065934066,4.0,1.0,1
107,Female,Loyal Customer,66,Personal Travel,Business,4017,3,3,2,2,1,3,3,4,3,1,4,1,1,3,0,False,False,2.4285714285714284,1,4,1.186813186813187,3.0,4.0,1
108,Female,Loyal Customer,20,Business travel,Eco,519,2,4,1,5,4,1,4,1,1,2,3,5,2,3,1,True,False,2.7142857142857144,1,5,2.21978021978022,0.0,0.0,1
109,Male,Loyal Customer,60,Business travel,Business,3036,1,5,3,1,3,2,4,3,2,4,3,5,2,2,1,False,False,2.857142857142857,1,5,1.6703296703296704,3.0,3.0,1
110,Female,Loyal Customer,10,Personal Travel,Eco,3962,4,4,1,2,5,4,1,5,3,1,3,1,4,3,0,True,False,2.9285714285714284,1,5,2.2252747252747254,0.0,4.0,1
111,Male,Loyal Customer,45,Business travel,Business,4329,2,5,4,5,3,3,3,1,5,4,3,1,4,1,1,False,False,3.142857142857143,1,5,2.131868131868132,2.0,4.0,1
112,Female,Loyal Customer,78,Business travel,Business,1550,1,1,2,1,3,1,4,5,2,5,5,2,3,5,1,False,False,2.857142857142857,1,5,2.747252747252747,4.0,1.0,1
113,Female,Loyal Customer,31,Business travel,Eco,3196,5,2,2,1,4,5,1,3,5,2,2,2,4,3,1,True,False,2.9285714285714284,1,5,2.071428571428571,1.0,3.0,1
114,Male,disloyal Customer,83,Business travel,Business,3361,3,4,3,3,3,2,3,5,4,4,4,2,1,3,1,False,False,3.142857142857143,1,5,1.054945054945055,4.0,3.0,0
115,Female,disloyal Customer,38,Business travel,Business,1264,4,4,2,5,1,3,2,3,5,2,4,4,5,2,1,False,False,3.2857142857142856,1,5,1.7582417582417587,1.0,1.0,1
116,Male,Loyal Customer,65,Personal Travel,Business,1969,4,2,2,1,3,3,3,5,2,4,2,5,4,1,0,False,False,2.9285714285714284,1,5,1.7637362637362637,3.0,1.0,1
117,Female,Loyal Customer,69,Business travel,Business,1919,4,4,2,3,4,3,3,5,5,4,1,3,4,2,1,False,False,3.357142857142857,1,5,1.324175824175824,3.0,1.0,1
118,Female,disloyal Customer,44,Business travel,Eco,2805,3,4,2,4,3,4,5,2,1,5,2,4,1,2,1,True,False,3.0,1,5,1.8461538461538463,2.0,2.0,0
119,Male,Loyal Customer,59,Personal Travel,Business,3615,1,5,2,5,5,5,5,1,2,2,3,5,3,3,0,False,False,3.357142857142857,1,5,2.554945054945055,3.0,3.0,1
120,Female,Loyal Customer,73,Business travel,Eco,1442,2,5,4,4,5,2,2,5,3,3,3,3,4,1,1,True,False,3.2857142857142856,1,5,1.6043956043956042,4.0,1.0,1
121,Male,Loyal Customer,34,Business travel,Eco,2326,1,2,1,1,5,1,2,4,5,4,2,2,2,3,1,True,False,2.5,1,5,2.1153846153846154,1.0,2.0,1
122,Female,Loyal Customer,9,Business travel,Business,1179,2,1,5,5,2,1,3,2,1,4,2,3,2,3,1,False,False,2.5714285714285716,1,5,1.8021978021978025,0.0,1.0,0
123,Male,Loyal Customer,28,Personal Travel,Eco Plus,4306,4,4,2,3,5,5,4,1,4,1,4,1,2,3,0,False,True,3.0714285714285716,1,5,2.0714285714285716,1.0,4.0,1
124,Male,Loyal Customer,44,Business travel,Business,4663,1,1,5,1,5,3,2,2,4,2,4,1,5,3,1,False,False,2.7857142857142856,1,5,2.489010989010988,2.0,4.0,1
125,Female,Loyal Customer,78,Business travel,Eco Plus,2879,4,2,5,5,2,3,3,1,5,3,5,5,5,5,1,False,True,3.7857142857142856,1,5,2.027472527472527,4.0,2.0,0
126,Female,Loyal Customer,78,Business travel,Business,2628,5,2,4,5,5,3,1,3,4,5,5,4,4,4,1,False,False,3.857142857142857,1,5,1.5164835164835162,4.0,2.0,0
127,Male,Loyal Customer,68,Business travel,Eco,913,4,5,2,4,4,3,5,5,3,3,3,2,4,1,1,True,False,3.4285714285714284,1,5,1.4945054945054943,3.0,0.0,0
128,Female,Loyal Customer,63,Business travel,Business,2131,4,4,5,1,5,3,4,4,2,5,5,5,4,5,1,False,False,4.0,1,5,1.5384615384615385,3.0,2.0,1
129,Female,Loyal Customer,12,Business travel,Business,422,2,3,2,3,5,5,3,2,1,3,5,2,5,4,1,False,False,3.2142857142857144,1,5,1.8736263736263736,0.0,0.0,1
130,Female,Loyal Customer,84,Personal Travel,Eco,3069,5,2,3,3,2,4,1,2,5,3,1,1,4,4,0,True,False,2.857142857142857,1,5,1.978021978021978,4.0,3.0,0
131,Male,disloyal Customer,38,Business travel,Eco,1003,4,4,3,1,4,2,5,2,4,2,2,4,1,4,1,True,False,3.0,1,5,1.6923076923076923,1.0,0.0,1
132,Male,Loyal Customer,16,Business travel,Business,1641,4,1,3,1,3,3,1,2,2,1,4,4,3,5,1,False,False,2.642857142857143,1,5,1.7857142857142858,0.0,1.0,1
133,Male,Loyal Customer,9,Personal Travel,Business,3603,5,5,5,2,1,4,3,5,3,3,5,1,2,1,0,False,False,3.2142857142857144,1,5,2.6428571428571432,0.0,3.0,1
134,Male,Loyal Customer,65,Personal Travel,Eco,2753,5,1,3,4,4,1,2,1,4,4,4,3,2,2,0,True,False,2.857142857142857,1,5,1.8241758241758246,3.0,2.0,0
135,Male,Loyal Customer,82,Business travel,Eco,2576,1,2,4,1,3,5,5,5,4,4,5,4,1,4,1,True,False,3.4285714285714284,1,5,2.4175824175824174,4.0,2.0,1
136,Male,Loyal Customer,55,Business travel,Eco Plus,3440,2,2,4,1,4,4,1,3,1,4,5,3,4,2,1,False,True,2.857142857142857,1,5,1.8241758241758244,3.0,3.0,1
137,Male,Loyal Customer,65,Business travel,Eco,4343,5,1,5,2,3,3,2,5,3,1,3,2,5,2,1,True,False,3.0,1,5,2.1538461538461537,3.0,4.0,1
138,Male,Loyal Customer,37,Personal Travel,Eco Plus,1241,5,2,2,2,3,3,4,5,3,3,1,4,4,3,0,False,True,3.142857142857143,1,5,1.3626373626373627,1.0,1.0,1
139,Male,Loyal Customer,75,Personal Travel,Eco,949,3,4,1,5,4,3,3,3,5,5,2,1,4,2,0,True,False,3.2142857142857144,1,5,1.8736263736263734,4.0,0.0,1
140,Female,Loyal Customer,68,Business travel,Business,466,5,2,2,3,2,4,3,5,1,5,2,3,2,3,1,False,False,3.0,1,5,1.6923076923076923,3.0,0.0,1
141,Male,Loyal Customer,58,Personal Travel,Business,2997,2,5,2,4,4,3,5,1,5,2,3,2,2,1,0,False,False,2.9285714285714284,1,5,2.071428571428571,3.0,2.0,0
142,Female,Loyal Customer,47,Business travel,Eco,1189,4,4,2,5,4,4,1,4,1,1,3,2,5,1,1,True,False,2.9285714285714284,1,5,2.379120879120879,2.0,1.0,1
143,Female,Loyal Customer,37,Business travel,Eco,4141,4,3,2,1,3,3,4,3,3,3,2,4,2,3,1,True,False,2.857142857142857,1,4,0.7472527472527472,1.0,4.0,1
144,Female,Loyal Customer,28,Business travel,Business,2138,4,2,1,2,1,1,5,2,1,4,2,4,4,1,1,False,False,2.4285714285714284,1,5,2.1098901098901095,1.0,2.0,0
145,Male,disloyal Customer,10,Personal Travel,Business,2960,4,2,3,3,3,1,5,1,1,1,1,5,1,4,0,False,False,2.5,1,5,2.423076923076923,0.0,2.0,0
